Gene,Treatment1,Treatment2,Treatment3,Vector1,Vector2,Vector3,KO1,KO2,KO3,WT1,WT2,WT3
LPCAT3,11.38645853,10.99734461,11.40739105,11.39928111,11.34928623,11.36320089,11.13704061,11.19915564,11.11010566,11.4171899,11.61313458,11.57662682
SLCO1B3,8.192348988,8.625389475,8.164946929,6.836082114,6.905977454,6.692661171,5.518484855,5.55433843,5.563133241,6.015171906,6.020666876,5.576654048
SUDS3,11.47143502,11.48842169,11.40072818,11.7546993,11.84103474,11.69838057,12.1044378,12.22983764,12.05804422,11.7315282,11.83393769,11.73515563
GOLT1B,11.90899049,11.85411063,11.75327468,12.37555478,12.59218711,12.39766833,12.52020103,12.75190621,12.452422,12.39250546,12.51270149,12.16735133
LDHB,14.56526749,14.98960844,14.5661582,14.79685155,14.54617319,14.58732849,14.82467874,14.90111428,14.87093689,14.4966987,14.66593451,14.52380484
PRKAB1,10.78750738,10.85086115,10.74605692,10.65356055,10.6229945,10.70088486,10.68878118,10.75167981,10.60951472,10.51515113,10.70124208,10.61617807
CMAS,12.04289563,12.05927772,11.91193902,12.12321869,12.1097237,12.09096258,12.63411844,12.81182333,12.64851092,12.14123827,12.33561922,12.14146726
HCFC2,9.316561085,9.205306994,8.942642727,9.147221389,9.166963052,9.094974349,8.764525517,8.878396731,8.834761581,9.456545537,9.243332851,9.376742866
ST8SIA1,9.565009677,8.737161402,9.420001051,10.08123237,10.27826286,10.13455698,8.008982149,7.892769655,7.966387838,9.689894793,9.583956691,9.540595805
C2CD5,10.39058065,10.7012782,10.21174131,10.35090058,10.25282503,10.18953278,10.01377736,10.05518464,9.913637344,10.47107984,10.41433902,10.30406232
RAB35,12.64106229,12.84162106,12.66046702,12.48818602,12.27253433,12.40270602,12.70392839,12.6557821,12.6964937,12.26212787,12.46337761,12.47317074
PHC1,9.76918856,9.816451648,9.639778447,9.991837115,10.25139858,10.06632859,9.830426618,9.929503142,9.719897282,10.07503875,10.16442135,10.17110451
COX6A1,11.09843913,11.3208886,11.36876619,11.03419712,10.90101392,10.99330301,10.91269903,10.83567702,10.85895551,10.69627031,10.89306191,10.78822448
RIC8B,10.14421411,10.08370048,9.960608296,10.03487391,10.05606785,9.998043735,10.27724069,10.34316096,10.29070135,10.33999368,10.21111517,10.21795254
SRSF9,13.78197271,13.98461103,13.90521479,13.78525503,13.65805996,13.71236275,14.09145599,14.04368342,14.0923592,13.57865461,13.75568843,13.74642355
RP11-22B23.1,8.121617482,8.686444488,8.501478608,8.295217362,8.416388324,8.453572283,8.804463482,8.63769654,8.786934356,8.299842741,8.085035274,8.166515245
FGFR1OP2,11.12566228,11.20221554,11.0965414,11.08739223,10.97373574,11.02632054,11.26394858,11.30691446,11.31878858,11.21007123,11.2370792,11.16029261
COL12A1,11.96532578,11.65556648,11.74172186,13.22523217,13.85822923,13.70918939,12.02338808,12.01520522,12.11527918,12.87849535,12.64840825,12.60851095
BTN3A3,10.90250274,10.24332884,10.77725967,11.10469674,11.19016828,11.09950966,10.52548382,10.64414209,10.44890695,11.46843311,11.72812136,11.53607969
TDP2,11.13759847,11.19461293,10.93806761,11.17191064,11.08760691,11.06655721,11.20561518,11.27944723,11.10487448,10.83111458,10.84340952,10.7820032
FRK,6.991578241,6.607184731,7.078308084,6.312853824,6.163810342,6.172695611,6.41290947,6.359686887,6.662326371,7.401110649,7.041836447,7.25600188
DSE,12.37377116,12.53292356,12.30418451,12.71771505,12.73678194,12.69194968,13.52631685,13.57641829,13.52537447,12.92546958,12.91848275,12.90604195
RWDD1,11.71153814,11.78333493,11.88545832,11.65965611,11.61018385,11.6793059,11.16601054,11.08139426,11.23233617,11.29496405,11.36363308,11.27713843
TMEM14C,13.29860494,13.55019506,13.36903043,12.81164481,12.69017556,12.85840914,12.30571346,12.3572844,12.24219688,12.66341888,12.7865197,12.67568956
PAK1IP1,11.05189337,11.62937204,10.95817493,10.89410149,10.65570955,10.74915377,10.85693539,10.73938824,10.85361863,10.63859261,10.66435085,10.74809613
GCNT2,9.561467335,9.986855199,9.353410855,8.362080383,8.293772847,8.368261844,9.105429233,9.318667162,9.040095464,8.497315235,8.779398056,8.626430342
SMIM8,7.359425078,7.559413046,7.451883492,7.944892248,8.084328076,7.812755906,7.497930898,7.587849833,7.562067734,7.715349774,7.691509314,7.451916332
NEDD9,7.696634409,7.701775039,7.901775592,7.382051429,7.984210468,7.668203121,6.870807066,6.638360615,6.610340969,6.914029828,6.910539958,6.686256516
CEP85L,8.708201954,8.636685352,8.644096178,8.477869508,8.642768219,8.583873579,8.940587801,8.788812486,8.932665965,9.083706135,8.674016966,8.878064606
ADTRP,10.64425101,10.91530427,10.54398376,11.01761006,11.18569518,11.20925319,11.75952414,11.82940783,11.59092881,10.71499477,10.950473,10.70353135
MCM9,8.900170161,9.178546601,8.851595909,8.660398514,8.735677392,8.631990044,9.144819864,9.037021462,8.962769911,8.768401505,8.742229758,8.784506603
FAM184A,6.991578241,6.642695203,6.944251588,7.245193686,7.493417894,7.346649823,7.327942158,7.423227874,7.342672024,6.995067504,6.654457781,6.891855618
RNGTT,10.36440538,10.54934844,10.18509842,10.51860191,10.52841377,10.40448366,10.76398199,10.78714231,10.75401528,10.53240933,10.40158547,10.38531821
MAN1A1,13.2396098,12.69121476,12.80152149,13.4095055,13.41319185,13.35783661,13.62210877,13.57733922,13.74542179,13.94565873,13.82987966,13.8912543
SERINC1,13.71195739,13.37556877,13.41526885,14.04237995,14.08860588,14.02670956,13.72659231,13.72800046,13.76106343,14.02035182,13.89346538,13.92074983
